horizon_days,n_trades,total_notional,total_pnl,notional_weighted_return,equal_weight_mean_return,pct_of_all_notional
1,37,44514655.128601074,193932.8165694229,0.004356606066230518,0.004854801837427465,1.0
3,37,44514655.128601074,585681.9262775239,0.013157058604307098,0.016027888167299796,1.0
5,37,44514655.128601074,841557.5791105868,0.01890518025309553,0.05322689297281667,1.0
10,37,44514655.128601074,1130824.7303244781,0.025403425614723293,0.042284840048961256,1.0
20,37,44514655.128601074,2296381.6624752,0.051587093190794006,0.09727398497360587,1.0
30,37,44514655.128601074,1036223.3467767646,0.02327825170796351,0.051026385187824784,1.0
