horizon_days,n_trades,total_notional,total_pnl,notional_weighted_return,equal_weight_mean_return,pct_of_all_notional
1,10,16750010.0,-324459.55242929707,-0.019370707983415954,-0.008790688780300333,1.0
3,10,16750010.0,-462059.2998319101,-0.027585613371688144,-0.015407836053393398,1.0
5,10,16750010.0,-378604.68659664295,-0.022603251376962934,0.005217589067017806,1.0
10,10,16750010.0,-815973.6040416044,-0.04871481294886418,0.03604476936573839,1.0
20,10,16750010.0,-483685.2066250908,-0.028876711513908995,0.02806908941902473,1.0
30,10,16750010.0,38315.4656816343,0.002287489122790631,0.05769758045011945,1.0
