horizon_days,n_trades,total_notional,total_pnl,notional_weighted_return,equal_weight_mean_return,pct_of_all_notional
1,14,21614632.128601074,229740.13882457925,0.010628917367535523,0.005235922444044615,1.0
3,14,21614632.128601074,551408.7763856812,0.02551090266560873,0.025362221843502016,1.0
5,14,21614632.128601074,551251.0615974555,0.025503605997902922,0.07005280683850121,1.0
10,14,21614632.128601074,675473.240069475,0.03125073959392861,0.051591602912748356,1.0
20,14,21614632.128601074,1465164.7347502755,0.06778578168867049,0.1207365895865481,1.0
30,14,21614632.128601074,740474.752041969,0.03425803167207979,0.06253629082766109,1.0
