date,daily_notional,daily_pnl_1d,cum_pnl_1d,daily_pnl_3d,cum_pnl_3d,daily_pnl_5d,cum_pnl_5d,daily_pnl_10d,cum_pnl_10d,daily_pnl_20d,cum_pnl_20d,daily_pnl_30d,cum_pnl_30d
2024-07-02,500001.0,-1416.6289379826283,-1416.6289379826283,3411.194431976189,3411.194431976189,9749.091463373785,9749.091463373785,-8332.404772162814,-8332.404772162814,4772.033751381166,4772.033751381166,12240.161461417109,12240.161461417109
2025-01-17,1000001.0,-22656.289715248506,-24072.918653231132,-69058.20656567879,-65647.0121337026,140077.17615116015,149826.26761453395,152857.6046417388,144525.199869576,-12272.115364020445,-7500.081612639278,157722.99034754682,169963.1518089639
2026-01-23,15250008.0,-300386.63377606595,-324459.55242929707,-396412.2876982075,-462059.29983191006,-528430.954211177,-378604.686596643,-960498.8039111806,-815973.6040416046,-476185.12501245155,-483685.20662509085,-131647.6861273296,38315.46568163432
