horizon_days,n_trades,total_notional,total_pnl,notional_weighted_return,equal_weight_mean_return,pct_of_all_notional
1,23,22900023.0,-111227.61782209309,-0.004857096336632199,0.02516529820517305,1.0
3,23,22900023.0,-284389.199328174,-0.012418729855781106,0.035084996865369596,1.0
5,23,22900023.0,-262549.700807714,-0.011465040921911477,0.023561307943440798,1.0
10,23,22900023.0,-707850.741825238,-0.030910481697998208,0.04266658564507012,1.0
20,23,22900023.0,-6070.4462492276725,-0.00026508472280694533,0.08963515376219539,1.0
30,23,22900023.0,380652.10876457073,0.016622346133214397,0.042222385856710266,1.0
