date,daily_notional,daily_pnl_1d,cum_pnl_1d,daily_pnl_3d,cum_pnl_3d,daily_pnl_5d,cum_pnl_5d,daily_pnl_10d,cum_pnl_10d,daily_pnl_20d,cum_pnl_20d,daily_pnl_30d,cum_pnl_30d
2023-03-17,2026460.3505859375,31377.12438831862,31377.12438831862,36999.22379871912,36999.22379871912,68638.06730638044,68638.06730638044,129431.85351568124,129431.85351568124,133746.3701742573,133746.3701742573,190748.67282571178,190748.67282571178
2023-06-15,1667193.6961669922,-15127.432937294025,16249.691451024597,-33748.34294108345,3250.880857635668,-14583.5959234863,54054.471382894146,39089.186073598525,168521.03958927977,46669.73450472848,180416.10467898578,48015.13626842981,238763.8090941416
2023-11-22,2243411.767150879,-43287.5698020658,-27037.878351041203,-41214.972731028545,-37964.09187339288,-89614.42126326334,-35559.9498803692,-97438.78284382289,71082.25674545688,12816.349623498061,193232.45430248385,163093.70069742113,401857.5097915627
2024-02-21,200002.0,4466.209547900203,-22571.668803141,31156.548817349205,-6807.543056043673,41363.92275698947,5803.972876620275,12894.723023245058,83976.97976870193,15330.142595383886,208562.59689786774,2465.9642488734867,404323.47404043615
2024-06-26,1000001.0,-19066.456813384113,-41638.12561652511,-16613.967371089384,-23421.510427133057,14873.335151925023,20677.308028545296,7911.470546514129,91888.45031521606,-111709.04621469334,96853.5506831744,-169541.40676452097,234782.06727591518
2024-07-01,500001.0,-9478.179323908254,-51116.304940433365,-13523.921648847523,-36945.43207598058,-4178.915387548726,16498.39264099657,-11415.57374159652,80472.87657361955,265.7576450483024,97119.3083282227,4916.222193308287,239698.28946922347
2024-07-26,1000001.0,-13001.96049563802,-64118.265436071386,35025.62060708387,-1919.8114688967107,-51211.924833670426,-34713.532192673854,-73500.77813883983,6972.09843477972,144259.83132933086,241379.13965755358,-58287.68162292671,181410.60784629674
2024-12-20,9597714.409423828,277802.69365471485,213684.42821864347,295201.9405369512,293282.1290680545,108512.04158781515,73798.5093951413,124228.13975404424,131200.23818882398,656592.8122177474,897971.9518753011,-303813.3000827105,-122402.69223641377
2024-12-31,1000001.0,-29935.19549140271,183749.23272724077,-112741.18744861727,180540.94161943722,-43339.017761075396,30459.491634065904,5361.483442671341,136561.7216314953,105890.37779120516,1003862.3296665063,-33956.364904903385,-156359.05714131717
2025-01-14,1100006.0,39544.1076909217,223293.34041816246,51791.97705125286,232332.9186706901,156205.8115510384,186665.3031851043,73256.81345806303,209818.53508955834,155405.5953846965,1159267.9250512028,8968.494380563388,-147390.5627607538
2025-06-20,4971288.146972656,75169.0673828125,298462.40780097496,291528.01513671875,523860.93380740884,384991.76025390625,571657.0634390105,481040.95458984375,690859.4896794021,760040.5883789062,1919308.513430109,949155.5786132812,801765.0158525275
2025-12-24,2000002.0,-10782.180497576735,287680.22730339825,5027.641133098026,528888.5749405068,24030.94281729011,595688.0062563006,-44667.167073629986,646192.3226057721,-14645.767365585629,1904662.7460645235,94234.3494058303,895999.3652583577
2025-12-30,3750005.0,18831.136510847115,306511.3638142454,-1909.5832564379389,526978.9916840689,-2450.080902901541,593237.925353399,5497.042941003435,651689.3655467755,-12070.420430163507,1892592.3256343598,203723.84908600835,1099723.214344366
2026-01-16,3458565.7583007812,-142402.2760561942,164109.08775805117,-61188.923981570995,465790.06770249794,-36257.473943670724,556980.4514097283,-24773.174730111423,626916.1908166641,-203191.92205867116,1689400.4035756886,-247345.31531209763,852377.8990322683
