ticker,buy_trade_id,sell_trade_id,buy_date,sell_date,holding_days,buy_amount_min,sell_amount_min,match_status
AAPL,50414ba377e4,7443a3a81e83,2023-03-17,2025-12-24,1013.0,500001.0,5000001.0,matched
AAPL,708e9596c520,4cdc86b134e6,2023-06-15,2025-12-30,929.0,250001.0,5000001.0,matched
NVDA,6ac9b2a017dd,ccf6fa87e1ad,2023-11-22,2024-06-24,215.0,1000001.0,,matched
NVDA,a1a1454920e8,1e1007b3b3a0,2024-06-26,2024-12-31,188.0,1000001.0,1000001.0,matched
NVDA,c07850e10fa1,d038f9ef30da,2024-07-26,2025-12-24,516.0,1000001.0,1000001.0,matched
NVDA,d7dbca2f0838,f08179192b4d,2024-12-20,2025-12-30,375.0,250001.0,1000001.0,matched
AVGO,f03b809f939a,e8e82b7e6641,2024-06-26,2025-06-20,359.0,,,matched
GOOGL,78224697a696,f3c03701a055,2025-01-14,2025-12-30,350.0,,1000001.0,matched
AMZN,43ec97260915,84d900dd3d1a,2025-01-14,2025-12-24,344.0,250001.0,1000001.0,matched
