horizon_days,n_trades,total_notional,total_pnl,notional_weighted_return,equal_weight_mean_return,pct_of_all_notional
1,10,16750010.0,-186.4987119467778,-1.1134244812198786e-05,-0.002438660263276232,1.0
3,10,16750010.0,-7540.691840826165,-0.0004501902888909419,-0.011938915025693374,1.0
5,10,16750010.0,245688.0055412704,0.014667931872355324,0.0021334725953679203,1.0
10,10,16750010.0,423651.61952377774,0.025292618901348582,0.0027383359480401357,1.0
20,10,16750010.0,647549.0957723141,0.03865962442842208,0.02382449031914139,1.0
30,10,16750010.0,460490.18793010555,0.027491935105119672,0.05723903710229691,1.0
