horizon_days,n_trades,total_notional,total_pnl,notional_weighted_return,equal_weight_mean_return,pct_of_all_notional
1,14,22261169.53552246,184091.8121698601,0.00826963793955669,0.03431130931872106,1.0
3,14,22261169.53552246,677614.9672318392,0.030439324679260873,0.06977517380492619,1.0
5,14,22261169.53552246,-688350.8715535492,-0.030921595132508112,0.03109778841049806,1.0
10,14,22261169.53552246,-949314.166647648,-0.04264439768686969,0.035652834421384186,1.0
20,14,22261169.53552246,1342561.9923154847,0.06030958931304753,0.14921669472374233,1.0
30,14,22261169.53552246,-329876.3425895637,-0.01481846414507447,0.05992973508511568,1.0
