date,ticker,daily_pnl,cum_pnl
2023-03-17,AAPL,0.0,0.0
2023-03-17,AB,0.0,0.0
2023-03-17,AMZN,0.0,0.0
2023-03-17,AVGO,0.0,0.0
2023-03-17,DIS,0.0,0.0
2023-03-17,GOOGL,0.0,0.0
2023-03-17,MSFT,0.0,0.0
2023-03-17,NVDA,0.0,0.0
2023-03-17,PANW,0.0,0.0
2023-03-17,PYPL,0.0,0.0
2023-03-17,TEM,0.0,0.0
2023-03-17,V,0.0,0.0
2023-03-17,VSNT,0.0,0.0
2023-03-17,VST,0.0,0.0
2023-03-20,AAPL,31377.12438831879,31377.12438831879
2023-03-20,AB,0.0,0.0
2023-03-20,AMZN,0.0,0.0
2023-03-20,AVGO,0.0,0.0
2023-03-20,DIS,0.0,0.0
2023-03-20,GOOGL,0.0,0.0
2023-03-20,MSFT,0.0,0.0
2023-03-20,NVDA,0.0,0.0
2023-03-20,PANW,0.0,0.0
2023-03-20,PYPL,0.0,0.0
2023-03-20,TEM,0.0,0.0
2023-03-20,V,0.0,0.0
2023-03-20,VSNT,0.0,0.0
2023-03-20,VST,0.0,0.0
2023-03-21,AAPL,24579.11206167612,55956.23644999491
2023-03-21,AB,0.0,0.0
2023-03-21,AMZN,0.0,0.0
2023-03-21,AVGO,0.0,0.0
2023-03-21,DIS,0.0,0.0
2023-03-21,GOOGL,0.0,0.0
2023-03-21,MSFT,0.0,0.0
2023-03-21,NVDA,0.0,0.0
2023-03-21,PANW,0.0,0.0
2023-03-21,PYPL,0.0,0.0
2023-03-21,TEM,0.0,0.0
2023-03-21,V,0.0,0.0
2023-03-21,VSNT,0.0,0.0
2023-03-21,VST,0.0,0.0
2023-03-22,AAPL,-18957.01265127574,36999.22379871917
2023-03-22,AB,0.0,0.0
2023-03-22,AMZN,0.0,0.0
2023-03-22,AVGO,0.0,0.0
2023-03-22,DIS,0.0,0.0
2023-03-22,GOOGL,0.0,0.0
2023-03-22,MSFT,0.0,0.0
2023-03-22,NVDA,0.0,0.0
2023-03-22,PANW,0.0,0.0
2023-03-22,PYPL,0.0,0.0
2023-03-22,TEM,0.0,0.0
2023-03-22,V,0.0,0.0
2023-03-22,VSNT,0.0,0.0
2023-03-22,VST,0.0,0.0
2023-03-23,AAPL,14380.97944233488,51380.20324105405
2023-03-23,AB,0.0,0.0
2023-03-23,AMZN,0.0,0.0
2023-03-23,AVGO,0.0,0.0
2023-03-23,DIS,0.0,0.0
2023-03-23,GOOGL,0.0,0.0
2023-03-23,MSFT,0.0,0.0
2023-03-23,NVDA,0.0,0.0
2023-03-23,PANW,0.0,0.0
2023-03-23,PYPL,0.0,0.0
2023-03-23,TEM,0.0,0.0
2023-03-23,V,0.0,0.0
2023-03-23,VSNT,0.0,0.0
2023-03-23,VST,0.0,0.0
2023-03-24,AAPL,17257.864065326525,68638.06730638057
2023-03-24,AB,0.0,0.0
2023-03-24,AMZN,0.0,0.0
2023-03-24,AVGO,0.0,0.0
2023-03-24,DIS,0.0,0.0
2023-03-24,GOOGL,0.0,0.0
2023-03-24,MSFT,0.0,0.0
2023-03-24,NVDA,0.0,0.0
2023-03-24,PANW,0.0,0.0
2023-03-24,PYPL,0.0,0.0
2023-03-24,TEM,0.0,0.0
2023-03-24,V,0.0,0.0
