horizon_days,n_trades,total_notional,total_pnl,notional_weighted_return,equal_weight_mean_return,pct_of_all_notional
1,13,6150013.0,213231.934607204,0.03467178599577009,0.05128528819399872,1.0
3,13,6150013.0,177670.10050373606,0.028889386169384693,0.07392563757211038,1.0
5,13,6150013.0,116054.98578892896,0.018870689507311442,0.03767186092530467,1.0
10,13,6150013.0,108122.86221636648,0.01758091604300129,0.047760290475325304,1.0
20,13,6150013.0,477614.7603758632,0.07766077248549932,0.1369936647954036,1.0
30,13,6150013.0,342336.6430829364,0.055664377145696504,0.03031839001562629,1.0
