horizon_days,n_trades,total_notional,total_pnl,notional_weighted_return,equal_weight_mean_return,pct_of_all_notional
1,23,22900023.0,-35807.322255156374,-0.0015636369559609777,0.004622815381225721,1.0
3,23,22900023.0,34273.14989184256,0.001496642596902307,0.010346119842654957,1.0
5,23,22900023.0,290306.51751313126,0.012677127770270417,0.04298503235892174,1.0
10,23,22900023.0,455351.49025500315,0.01988432458146453,0.03661985395796042,1.0
20,23,22900023.0,831216.9277249243,0.036297645977251825,0.08299239955703235,1.0
30,23,22900023.0,295748.59473479545,0.012914772825110065,0.04402035566792442,1.0
