ticker,net_notional,n_open_lots,buy_instrument,first_buy_date,days_held,status,ret_1d,pnl_1d,ret_3d,pnl_3d,ret_5d,pnl_5d,ret_10d,pnl_10d,ret_20d,pnl_20d,ret_30d,pnl_30d
NVDA,9413896.974853516,6,stock,2024-07-26,673,仍持有,-0.013001947493690528,-13001.96049563802,0.035025585581498285,35025.62060708387,-0.051211873621796807,-51211.924833670426,-0.0735007046381352,-73500.77813883983,0.1442596870696438,144259.83132933086,-0.05828762333530338,-58287.68162292671
PANW,2814921.9829101562,3,stock,2024-02-21,829,仍持有,0.0223308244312567,2233.1047739501014,0.15578118627488327,15578.274408674602,0.20681754560949125,20681.961378494736,0.06447297038652143,6447.361511622529,0.07664994647745466,7665.071297691943,0.01232969794738796,1232.9821244367433
AMZN,1445600.9755859375,2,stock,2025-01-14,501,仍持有,0.025670516796895883,6417.654869740768,0.03756432834734263,9391.119651164005,0.07921565225543982,19803.99227951221,0.0886756672689787,22169.005492911943,0.051294996559134574,12823.800434780203,-0.04142169930753153,-10355.46624858219
AAPL,1167192.6961669922,2,option,2023-06-15,1080,仍持有,-0.005859847285954741,-1464.9676813359713,-0.011020881622284156,-2755.2314264526613,0.0036019519515148087,900.4915898306537,0.042793371882698245,10698.385764046443,0.042901092721856056,10725.316081556735,0.05612613403217401,14031.589634177533
VST,831865.234375,1,option,2026-01-16,134,仍持有,-0.058763559043471116,-48883.36181640625,-0.03745502330277168,-31157.53173828125,-0.04675870625594309,-38896.942138671875,-0.07406966839040653,-61615.982055664055,0.04249692573635584,35351.715087890625,-0.029411770100841717,-24466.629028320312
MSFT,500001.0,1,stock,2023-06-15,1080,仍持有,-0.01657569081756572,-8287.861984473679,-0.04176961727323016,-20884.850406232355,-0.03757546071555622,-18787.76793323883,-0.02171780662887633,-10858.925032244793,-0.0068082015392065464,-3404.1075778048125,-0.034989684896656915,-17494.877438013355
GOOGL,500001.0,1,stock,2026-01-16,134,仍持有,-0.024242369838586252,-12121.209161662964,0.001636430990558525,818.217131710253,0.00987883118312119,4939.425470391778,0.04148490912269327,20742.496046255757,-0.08478791038136532,-42394.03997859304,-0.08006064872555406,-40030.40442342575
TEM,100002.0,2,option,2025-01-14,501,仍持有,0.09707817319025243,4854.005737685811,0.10430416619951706,5215.312614142053,0.5849827484720088,29249.722406348912,0.5950361476423272,29752.402418264,1.3210806607132382,66055.35411632262,0.7373546770219978,36868.47120577691
