date,daily_notional,daily_pnl_1d,cum_pnl_1d,daily_pnl_3d,cum_pnl_3d,daily_pnl_5d,cum_pnl_5d,daily_pnl_10d,cum_pnl_10d,daily_pnl_20d,cum_pnl_20d,daily_pnl_30d,cum_pnl_30d
2023-03-17,1526459.3505859375,23635.25390625,23635.25390625,27870.178222656254,27870.178222656254,51702.57568359375,51702.57568359375,97496.33789062501,97496.33789062501,100746.30737304688,100746.30737304688,143684.08203125,143684.08203125
2023-06-15,917191.6961669922,-5374.603271484375,18260.650634765625,-10108.261108398438,17761.917114257816,3303.680419921875,55006.256103515625,39249.725341796875,136746.06323242188,39348.52600097656,140094.83337402344,51478.424072265625,195162.50610351562
2023-11-22,1243410.767150879,-23992.13161123798,-5731.480976472354,-22843.394873815054,-5081.477759557238,-49668.784804605304,5337.471298910321,-54005.436496374336,82740.62673604753,7103.460608868171,147198.2939828916,90394.66872334435,285557.17482685996
2024-02-21,100001.0,2233.1047739501014,-3498.3762025222527,15578.274408674602,10496.796649117365,20681.961378494736,26019.432677405057,6447.361511622529,89187.98824767006,7665.071297691943,154863.36528058353,1232.9821244367433,286790.1569512967
2024-12-20,9347713.409423828,268578.4606933594,265080.0844908371,285495.1171875,295991.9138366174,103333.8623046875,129353.29498209256,114131.56127929688,203319.54952696693,633355.8654785156,788219.2307590991,-292640.31982421875,-5850.162872922025
2025-01-14,550003.0,19772.053845460847,284852.13833629794,25895.98852562643,321887.9023622438,78102.9057755192,207456.20075761178,36628.406729031514,239947.95625599846,77702.79769234825,865922.0284514474,4484.247190281694,-1365.9156826403305
2025-06-20,4971288.146972656,75169.0673828125,360021.20571911044,291528.01513671875,613415.9174989625,384991.76025390625,592447.961011518,481040.95458984375,720988.9108458422,760040.5883789062,1625962.6168303536,949155.5786132812,947789.662930641
2026-01-16,2958564.7583007812,-130281.06689453125,229740.1388245792,-62007.14111328125,551408.7763856812,-41196.8994140625,551251.0615974555,-45515.67077636718,675473.240069475,-160797.88208007812,1465164.7347502755,-207314.91088867188,740474.7520419691
