trade_id,person,doc_id,txn_num,owner,asset_name,action,transaction_date,disclosure_date,amount_min,amount_max,asset_class,ticker,source_doc,entry_price,disclosure_price,reveal_lag_days,return_to_disclosure,return_post_disclosure_1d,return_post_disclosure_5d,return_post_disclosure_20d,fifo_holding_days
50414ba377e4,Nancy Pelosi,pelosi_ptr_20022664,2,,AAPL,purchase,2023-03-17,2023-04-06,500001.0,1000000.0,equity,AAPL,pelosi_ptr_20022664.pdf,152.64593505859375,162.15924072265625,20,0.06232269244779286,-0.0159725905096211,0.0033399929313912098,0.05411146119585956,
044cb483f870,Nancy Pelosi,pelosi_ptr_20023192,1,SP,Microsoft Corporation (MSFT) [ST],purchase,2023-06-15,2023-06-22,500001.0,1000000.0,equity,MSFT,pelosi_ptr_20023192.pdf,340.0538330078125,331.8577575683594,7,-0.024102288061151854,-0.013805927085981967,-0.013717553703382696,0.01195146544862826,
708e9596c520,Nancy Pelosi,pelosi_ptr_20023192,2,,AAPL,purchase,2023-06-15,2023-06-22,250001.0,500000.0,equity,AAPL,pelosi_ptr_20023192.pdf,183.43833923339844,184.41464233398438,7,0.005322241275547827,-0.001711182000559665,0.013850223212401862,0.026417204722435375,
6ac9b2a017dd,Nancy Pelosi,pelosi_ptr_20024186,1,,NVDA,purchase,2023-11-22,2023-12-21,1000001.0,5000000.0,equity,NVDA,pelosi_ptr_20024186.pdf,48.68195343017578,48.96006774902344,29,0.005712883301746588,-0.0032658625271025452,0.01085948376371723,0.2221474503116111,
32d207a78905,Nancy Pelosi,pelosi_ptr_20024542,1,SP,"Palo Alto Networks, Inc. (PANW)",purchase,2024-02-21,2024-02-23,100001.0,250000.0,equity,PANW,pelosi_ptr_20024542.pdf,130.98500061035156,141.0449981689453,2,0.07680266833390939,0.07334539583113585,0.07199829069537866,0.016625908406154577,
ccf6fa87e1ad,Nancy Pelosi,pelosi_ptr_20025368,4,,NVDA,sale,2024-06-24,2024-07-02,,,equity,NVDA,pelosi_ptr_20025368.pdf,118.0530776977539,122.61088562011719,8,-0.038608124508472674,-0.04573235498250435,-0.09978001169072907,0.04605865998160397,215.0
e949e584295d,Nancy Pelosi,pelosi_ptr_20025368,2,SP,Visa Inc. (V) [ST],sale,2024-07-01,2024-07-02,500001.0,1000000.0,equity,V,pelosi_ptr_20025368.pdf,259.2919921875,264.20721435546875,1,-0.018956320735175038,-0.0028332522094608376,0.01949814393045971,0.009544048414665503,
a1a1454920e8,Nancy Pelosi,pelosi_ptr_20025368,1,SP,NVIDIA Corporation - Common,purchase,2024-06-26,2024-07-02,1000001.0,5000000.0,equity,NVDA,pelosi_ptr_20025368.pdf,126.3390884399414,122.61088562011719,6,-0.02950949595933263,0.04573235498250435,0.09978001169072907,-0.04605865998160397,
f03b809f939a,Nancy Pelosi,pelosi_ptr_20025368,3,,AVGO,purchase,2024-06-26,2024-07-02,,,equity,AVGO,pelosi_ptr_20025368.pdf,156.508544921875,162.94583129882812,6,0.041130574564899644,0.04328259925396238,0.052616029227204736,-0.030576511370453172,
80fe88129b91,Nancy Pelosi,pelosi_ptr_20025535,2,,MSFT,purchase,2024-07-26,2024-07-30,,,equity,MSFT,pelosi_ptr_20025535.pdf,418.68994140625,416.3763427734375,4,-0.005525804190666338,-0.010805844697452766,-0.055116822121663876,-0.019706064723809022,
c07850e10fa1,Nancy Pelosi,pelosi_ptr_20025535,1,SP,NVIDIA Corporation - Common Stock,purchase,2024-07-26,2024-07-30,1000001.0,5000000.0,equity,NVDA,pelosi_ptr_20025535.pdf,113.00550842285156,103.68000793457031,4,-0.08252253025920178,0.12812098358547078,0.005013044585889771,0.2368650137392375,
